DISC;PAL;LINE;CAMPIONATO;NAZ;CULT;EVENTO;DATA ORA;STATO;FN1;FNX;FN2
1;350;16481;COL1;0;0;RIONEGRO AGUILAS - UNION MAGDALENA SAN...;22/09/2022 23.05;A;1,72;3,25;5,00
1;350;16479;MEX2;0;0;ATLETICO MORELIA - CANCUN FC;23/09/2022 00.00;A;1,55;3,70;5,40
1;350;16471;MEX1F;0;0;ATLETICO SAN LUIS - CLUB AMERICA;23/09/2022 00.00;A;7,00;4,50;1,32
1;350;16457;MEX1F;0;0;CLUB NECAXA - CLUB SANTOS LAGUNA;23/09/2022 00.00;A;2,60;3,70;2,10
1;350;16463;MEX1F;0;0;QUERETARO FC - DEPORTIVO TOLUCA FC;23/09/2022 00.05;A;2,65;3,35;2,20
1;350;16470;BRAPA1F;0;0;EC TAUBATE SP - SANTOS FC SP;23/09/2022 00.30;A;17,00;8,40;1,05
1;350;16459;COL1;0;0;INDEPENDIENTE MEDELLIN - DEPORTES PEREIRA;23/09/2022 01.10;A;1,90;3,20;4,00
1;350;14745;ECU2;0;0;BUHOS ULVR FC - INDEPENDIENTE JUNIORS;23/09/2022 02.00;A;2,50;2,85;2,75
1;350;18960;MEX1F;0;0;CF PACHUCA - ATLAS FC;23/09/2022 02.00;A;1,43;4,40;5,00
1;350;50013;CECU;0;0;MUSHUC RUNA SC - EL NACIONAL QUITO;23/09/2022 02.00;A;1,70;3,50;4,00
1;350;18975;MEX2;0;0;ATLANTE FC - VENADOS FC;23/09/2022 02.05;A;1,48;3,85;5,80
1;350;18972;BRA2;0;0;VILA NOVA - CRB;23/09/2022 02.30;A;2,20;2,80;3,65
1;350;18976;MEX1F;0;0;CF MONTERREY - CRUZ AZUL;23/09/2022 04.00;A;1,32;4,90;6,20
1;350;18962;MEX1F;0;0;MAZATLAN FC - CLUB TIJUANA DE CALIENTE;23/09/2022 04.00;A;5,20;4,20;1,45
1;350;48559;ENG2U23;0;0;HULL CITY RES - BIRMINGHAM CITY;23/09/2022 14.00;A;2,45;3,70;2,25
1;350;18817;AMINT;0;0;GIAPPONE - STATI UNITI;23/09/2022 14.25;A;2,45;3,15;2,75
1;350;27357;ITA4;0;0;PINEROLO - US FEZZANESE;23/09/2022 15.00;A;2,10;3,00;3,25
1;350;18946;FIN2;0;0;KTP KOTKA - KOKKOLA;23/09/2022 17.30;A;1,42;4,60;6,20
1;350;4923;NATLEA;0;0;ESTONIA - MALTA;23/09/2022 18.00;A;1,83;3,25;4,60
1;350;4925;NATLEA;0;0;GEORGIA - MACEDONIA DEL NORD;23/09/2022 18.00;A;2,00;3,30;3,70
1;350;37529;EURQU21;0;0;CROAZIA U21 - DANIMARCA U21;23/09/2022 18.00;A;2,40;3,30;2,75
1;350;37531;EURQU21;0;0;ISLANDA U21 - REPUBBLICA CECA U21;23/09/2022 18.00;A;2,90;3,10;2,40
1;350;37532;EURQU21;0;0;SLOVACCHIA U21 - UCRAINA U21;23/09/2022 18.00;A;2,50;3,10;2,80
1;350;9380;AMINT;0;0;IRAN - URUGUAY;23/09/2022 18.00;A;3,65;3,40;1,90
1;350;18925;AMINT;0;0;CANADA - QATAR;23/09/2022 19.00;A;2,05;3,35;3,25
1;350;18868;AMINT;0;0;PARAGUAY - EMIRATI ARABI UNITI;23/09/2022 19.00;A;1,65;3,65;4,80
1;350;18993;FRA3;0;0;CHOLET - CONCARNEAU;23/09/2022 19.30;A;3,65;3,20;1,97
1;350;18966;FRA3;0;0;CS SEDAN - LE PUY FOOT 43 AUVERGNE;23/09/2022 19.30;A;2,35;2,95;3,05
1;350;18954;FRA3;0;0;FC BASTIA BORGO - LE MANS FC;23/09/2022 19.30;A;2,85;3,15;2,35
1;350;19005;FRA3;0;0;FC VERSAILLES 78 - NANCY;23/09/2022 19.30;A;2,30;3,00;3,10
1;350;18980;FRA3;0;0;FC VILLEFRANCHE-BEAUJOLAIS - BOURG PERONNAS;23/09/2022 19.30;A;2,35;3,00;3,05
1;350;18959;FRA3;0;0;PARIS 13 ATLETICO - AVRANCHES;23/09/2022 19.30;A;2,35;3,00;3,05
1;350;19001;FRA3;0;0;RED STAR - FC MARTIGUES;23/09/2022 19.30;A;1,95;3,30;3,70
1;350;19014;FRA3;0;0;STADE BRIOCHIN - US ORLEANS 45;23/09/2022 19.30;A;2,50;3,10;2,75
1;350;37530;EURQU21;0;0;IRLANDA U21 - ISRAELE U21;23/09/2022 20.00;A;2,30;3,05;3,15
1;350;18789;AMINT;0;0;BRASILE - GHANA;23/09/2022 20.30;A;1,18;6,00;14,00
